"Id","Price","Description","Brand","Category","DiscountPercentage","Images","MinimumOrderQuantity","Rating","Sku","Stock","Thumbnail","Title","Weight"
"1","9.99","The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.","Essence","beauty","7.17","{""https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/1.png""}","24","4.94","RCH45Q1A","5","https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/thumbnail.png","Essence Mascara Lash Princess","2"
"2","19.99","The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.","Glamour Beauty","beauty","5.5","{""https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/1.png""}","32","3.28","MVCFH27F","44","https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/thumbnail.png","Eyeshadow Palette with Mirror","3"
"3","14.99","The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.","Velvet Touch","beauty","18.14","{""https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/1.png""}","25","3.82","9EN8WLT2","59","https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/thumbnail.png","Powder Canister","8"
"4","12.99","The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.","Chic Cosmetics","beauty","19.03","{""https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/1.png""}","6","2.51","O5IF1NTA","68","https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/thumbnail.png","Red Lipstick","5"
"5","8.99","The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.","Nail Couture","beauty","2.46","{""https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/1.png""}","46","3.91","YUIIIP4W","71","https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/thumbnail.png","Red Nail Polish","9"
"6","49.99","CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.","Calvin Klein","fragrances","0.32","{""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/1.png"",""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/2.png"",""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/3.png""}","20","4.85","DZM2JQZE","17","https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/thumbnail.png","Calvin Klein CK One","5"
"7","129.99","Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.","Chanel","fragrances","18.64","{""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/1.png"",""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/2.png"",""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/3.png""}","5","2.76","K71HBCGS","41","https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/thumbnail.png","Chanel Coco Noir Eau De","4"
"8","89.99","J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.","Dior","fragrances","17.44","{""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/1.png"",""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/2.png"",""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/3.png""}","8","3.31","E70NB03B","91","https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/thumbnail.png","Dior J'adore","10"
"9","69.99","Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.","Dolce & Gabbana","fragrances","11.47","{""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/1.png"",""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/2.png"",""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/3.png""}","9","2.68","1NBFK980","3","https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/thumbnail.png","Dolce Shine Eau de","5"
"10","79.99","Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.","Gucci","fragrances","8.9","{""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/1.png"",""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/2.png"",""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/3.png""}","10","2.69","FFKZ6HOF","93","https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/thumbnail.png","Gucci Bloom Eau de","10"
